RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,Taken
359,14,Jamison Crowder,NYG,WR124,13,3 out of 5 stars,0
360,14,Xavier Hutchinson,HOU,WR125,7,4 out of 5 stars,0
361,14,Kenyan Drake,IND,RB98,11,3 out of 5 stars,0
362,14,Salvon Ahmed,MIA,RB99,10,1 out of 5 stars,0
363,14,Rodrigo Blankenship,TB,K31,5,2 out of 5 stars,0
364,14,Myles Gaskin,MIA,RB100,10,1 out of 5 stars,0
365,14,Tyler Scott,CHI,WR126,13,3 out of 5 stars,0
366,14,Darnell Washington,PIT,TE45,6,4 out of 5 stars,0
367,14,Olamide Zaccheaus,PHI,WR127,10,3 out of 5 stars,0
368,14,Kalif Raymond,DET,WR128,9,3 out of 5 stars,0
369,14,Mason Crosby,FA,K32,-,-,0
370,14,Arizona Cardinals,ARI,DST28,14,4 out of 5 stars,0
371,14,Marquez Callaway,DEN,WR129,9,2 out of 5 stars,0
372,14,Ke'Shawn Vaughn,TB,RB101,5,3 out of 5 stars,0
373,14,Calvin Austin III,PIT,WR130,6,3 out of 5 stars,0
374,14,Deneric Prince,KC,RB102,10,4 out of 5 stars,0
375,14,Gardner Minshew II,IND,QB38,11,4 out of 5 stars,0
376,14,Jarvis Landry,FA,WR131,-,-,0
377,14,Trent Sherfield,BUF,WR132,13,2 out of 5 stars,0
378,14,Chris Moore,TEN,WR133,7,3 out of 5 stars,0
379,14,Will Dissly,SEA,TE46,5,2 out of 5 stars,0
380,14,Tucker Kraft,GB,TE47,6,4 out of 5 stars,0
381,14,Ameer Abdullah,LV,RB103,13,3 out of 5 stars,0
382,14,Cedrick Wilson Jr.,MIA,WR134,10,3 out of 5 stars,0
383,14,Noah Gray,KC,TE48,10,4 out of 5 stars,0
384,14,Tristan Vizcaino,FA,K33,-,-,0
385,14,Sam Darnold,SF,QB39,9,3 out of 5 stars,0
386,14,Kenny McIntosh,SEA,RB104,5,2 out of 5 stars,0
387,14,Jalen Tolbert,DAL,WR135,7,2 out of 5 stars,0
388,14,Raheem Blackshear,CAR,RB105,7,4 out of 5 stars,0
389,14,Donald Parham Jr.,LAC,TE49,5,4 out of 5 stars,0
390,14,Ty Montgomery,NE,RB106,11,2 out of 5 stars,0
391,14,J.D. McKissic,FA,RB107,-,-,0
392,14,Randall Cobb,NYJ,WR136,7,3 out of 5 stars,0
393,14,Chris Rodriguez Jr.,WAS,RB108,14,3 out of 5 stars,0
394,14,Trey Palmer,TB,WR137,5,4 out of 5 stars,0
395,14,Durham Smythe,MIA,TE50,10,2 out of 5 stars,0
396,14,Julio Jones,FA,WR138,-,-,0
397,14,Demarcus Robinson,LAR,WR139,10,3 out of 5 stars,0
398,14,Kene Nwangwu,MIN,RB109,13,5 out of 5 stars,0
399,14,Demario Douglas,NE,WR140,11,2 out of 5 stars,0
400,14,Brandon Aubrey,DAL,K34,7,3 out of 5 stars,0
401,14,Atlanta Falcons,ATL,DST29,11,5 out of 5 stars,0
402,14,Houston Texans,HOU,DST30,7,3 out of 5 stars,0
403,14,Justin Watson,KC,WR141,10,2 out of 5 stars,0
404,15,Chicago Bears,CHI,DST31,13,1 out of 5 stars,0
405,15,Chad Ryland,NE,K35,11,2 out of 5 stars,0
406,15,C.J. Uzomah,NYJ,TE51,7,3 out of 5 stars,0
407,15,Taylor Heinicke,ATL,QB40,11,4 out of 5 stars,0
408,15,Dyami Brown,WAS,WR142,14,3 out of 5 stars,0
